"Fahrt: Name","Ende Wochentag"
"2335387","1 Montag"
"1530466","1 Montag"
"2335451","1 Montag"
"1530615","1 Montag"
"2335456","1 Montag"
"1530759","1 Montag"
"2335589","1 Montag"
"1530763","1 Montag"
"2402984","1 Montag"
"1531003","1 Montag"
"2402985","1 Montag"
"1531034","1 Montag"
"2403008","1 Montag"
"1531035","1 Montag"
"2403014","1 Montag"
"1531147","1 Montag"
"2403114","1 Montag"
"1531453","1 Montag"
"2403797","1 Montag"
"1531898","1 Montag"
"2404022","1 Montag"
"1532084","1 Montag"
"2404034","1 Montag"
"1532196","1 Montag"
"2404193","1 Montag"
"1532211","1 Montag"
"2404858","1 Montag"
"1573578","1 Montag"
"2404892","1 Montag"
"1573842","1 Montag"
"2404996","1 Montag"
"1574616","1 Montag"
"2405232","1 Montag"
"1574625","1 Montag"
"2405502","1 Montag"
"1574626","1 Montag"
"2405504","1 Montag"
"1574674","1 Montag"
"2405657","1 Montag"
"1574868","1 Montag"
"2405798","1 Montag"
"1575084","1 Montag"
"2405834","1 Montag"
"1575260","1 Montag"
"2406160","1 Montag"
"1575294","1 Montag"
"2406244","1 Montag"
"1575530","1 Montag"
"2406479","1 Montag"
"1575541","1 Montag"
"2406650","1 Montag"
"1575841","1 Montag"
"2406659","1 Montag"
"1575997","1 Montag"
"2406697","1 Montag"
"1576086","1 Montag"
"2406729","1 Montag"
"1576102","1 Montag"
"2406939","1 Montag"
"1576263","1 Montag"
"2407019","1 Montag"
"1576331","1 Montag"
"2407067","1 Montag"
"1576504","1 Montag"
"2407134","1 Montag"
"1576506","1 Montag"
"2407306","1 Montag"
"1576509","1 Montag"
"2407331","1 Montag"
"1576598","1 Montag"
"2407348","1 Montag"
"1576627","1 Montag"
"2407403","1 Montag"
"1576650","1 Montag"
"2407452","1 Montag"
"1576670","1 Montag"
