Date,District From Id,District From Name,Count
2019-06-06,1903,Bremgarten,77
2019-06-06,1101,Gäu,38
2019-06-06,8,Glarus,42
2019-06-06,246,Bern-Mittelland,232
2019-06-06,1908,Muri,28
2019-06-06,2102,Blenio,265
2019-06-06,315,Willisau,94
2019-06-06,1725,Sarganserland,147
2019-06-06,1303,Liestal,296
2019-06-06,107,Meilen,131
2019-06-06,242,Biel/Bienne,75
2019-06-06,4,Uri,1057
2019-06-06,506,Schwyz,214
2019-06-06,1004,La Sarine,42
2019-06-06,1902,Baden,183
2019-06-06,111,Dietikon,137
2019-06-06,1848,Plessur,122
2019-06-06,2106,Mendrisio,27553
2019-06-06,-1,Other,479
2019-06-07,1501,Hinterland,28
2019-06-07,101,Affoltern,167
2019-06-07,1105,Gösgen,28
2019-06-07,249,Frutigen-Niedersimmental,34
2019-06-07,1850,Surselva,110
2019-06-07,2104,Locarno,5193
2019-06-07,2014,Münchwilen,57
2019-06-07,1728,Wil,100
2019-06-07,247,Thun,40
2019-06-07,1305,Waldenburg,76
2019-06-07,2227,Morges,24
2019-06-07,24,Neuchâtel,70
2019-06-07,1724,Werdenberg,2223
2019-06-07,1904,Brugg,84
2019-06-07,25,Genève,117
2019-06-07,2603,Porrentruy,34
2019-06-07,504,Küssnacht (SZ),59
2019-06-07,110,Winterthur,232
2019-06-07,1907,Lenzburg,79
2019-06-07,2301,Brig,79
2019-06-07,316,Entlebuch,24
2019-06-07,1847,Moesa,1442
2019-06-07,1302,Laufen,21
2019-06-07,2105,Lugano,41429
2019-06-07,1911,Zurzach,53
2019-06-07,1109,Solothurn,37
2019-06-07,106,Horgen,402
2019-06-07,2103,Leventina,2619
2019-06-07,243,Seeland,26
2019-06-07,312,Luzern-Land,345
2019-06-07,2011,Arbon,212
2019-06-07,6,Obwalden,115
2019-06-07,102,Andelfingen,71
2019-06-07,1723,Rheintal,810
2019-06-07,2601,Delémont,32
2019-06-07,1502,Mittelland,35
2019-06-07,2015,Weinfelden,73
2019-06-07,1910,Zofingen,166
2019-06-07,1106,Wasseramt,76
2019-06-07,1402,Reiat,470
2019-06-07,1851,Viamala,524
2019-06-07,9,Zug,590
2019-06-07,109,Uster,214
2019-06-07,1842,Bernina,31
2019-06-07,2108,Vallemaggia,171
2019-06-07,503,Höfe,73
2019-06-07,105,Hinwil,192
2019-06-07,244,Oberaargau,43
2019-06-07,311,Luzern-Stadt,489
2019-06-07,1846,Maloja,77
2019-06-07,1906,Laufenburg,68
2019-06-07,1727,Toggenburg,57
2019-06-07,1301,Arlesheim,510
2019-06-07,2225,Lausanne,50
2019-06-07,1403,Schaffhausen,516
2019-06-07,12,Basel-Stadt,2171
2019-06-07,313,Hochdorf,265
2019-06-07,1107,Lebern,86
2019-06-07,7,Nidwalden,249
2019-06-07,1722,Rorschach,84
2019-06-07,245,Emmental,65
2019-06-07,103,Bülach,418
2019-06-07,1909,Rheinfelden,140
2019-06-07,108,Pfäffikon,110
2019-06-07,1841,Albula,39
2019-06-07,2101,Bellinzona,12929
2019-06-07,1726,See-Gaster,120
2019-06-07,505,March,118
2019-06-07,241,Jura bernois,52
2019-06-07,1304,Sissach,176
2019-06-07,2107,Riviera,905
2019-06-07,1905,Kulm,42
2019-06-07,112,Zürich,2894
2019-06-07,1845,Landquart,302
2019-06-07,2012,Frauenfeld,61
2019-06-07,16,Appenzell Innerrhoden,22
2019-06-07,1901,Aarau,130
2019-06-07,1849,Prättigau/Davos,45
2019-06-07,314,Sursee,266
2019-06-07,2013,Kreuzlingen,206
2019-06-07,250,Interlaken-Oberhasli,135
2019-06-07,1844,Imboden,126
2019-06-07,104,Dielsdorf,132
2019-06-07,1108,Olten,206
2019-06-07,1721,St. Gallen,244
2019-06-07,1903,Bremgarten,105
2019-06-07,1101,Gäu,44
2019-06-07,8,Glarus,130
2019-06-07,246,Bern-Mittelland,310
2019-06-07,2230,Riviera-Pays-d'Enhaut,32
2019-06-07,1908,Muri,48
2019-06-07,2102,Blenio,304
2019-06-07,315,Willisau,103
2019-06-07,1725,Sarganserland,363
2019-06-07,1303,Liestal,399
2019-06-07,107,Meilen,201
2019-06-07,242,Biel/Bienne,104
2019-06-07,4,Uri,2986
2019-06-07,506,Schwyz,367
2019-06-07,1004,La Sarine,55
2019-06-07,1902,Baden,226
2019-06-07,111,Dietikon,323
2019-06-07,1848,Plessur,201
2019-06-07,2106,Mendrisio,30441
2019-06-07,-1,Other,433
2019-06-08,1501,Hinterland,21
2019-06-08,101,Affoltern,203
2019-06-08,1105,Gösgen,30
2019-06-08,249,Frutigen-Niedersimmental,30
2019-06-08,1850,Surselva,154
2019-06-08,2104,Locarno,5305
2019-06-08,2014,Münchwilen,52
2019-06-08,1728,Wil,106
2019-06-08,1305,Waldenburg,111
2019-06-08,24,Neuchâtel,35
2019-06-08,1724,Werdenberg,3785
2019-06-08,1904,Brugg,53
2019-06-08,25,Genève,59
2019-06-08,504,Küssnacht (SZ),32
2019-06-08,110,Winterthur,237
2019-06-08,1907,Lenzburg,44
2019-06-08,2301,Brig,97
2019-06-08,1847,Moesa,3232
2019-06-08,2105,Lugano,36631
2019-06-08,1911,Zurzach,119
2019-06-08,106,Horgen,225
2019-06-08,2103,Leventina,4815
2019-06-08,1405,Stein,30
2019-06-08,312,Luzern-Land,216
2019-06-08,2011,Arbon,315
2019-06-08,6,Obwalden,135
2019-06-08,2307,Martigny,25
2019-06-08,102,Andelfingen,84
2019-06-08,1723,Rheintal,1156
2019-06-08,2015,Weinfelden,68
2019-06-08,2313,Visp,25
2019-06-08,2228,Nyon,22
2019-06-08,1910,Zofingen,139
2019-06-08,1106,Wasseramt,41
2019-06-08,1402,Reiat,876
2019-06-08,1851,Viamala,1902
2019-06-08,9,Zug,391
2019-06-08,109,Uster,167
2019-06-08,2312,Sion,58
2019-06-08,1842,Bernina,27
2019-06-08,2108,Vallemaggia,255
2019-06-08,503,Höfe,73
2019-06-08,105,Hinwil,127
2019-06-08,244,Oberaargau,49
2019-06-08,311,Luzern-Stadt,374
2019-06-08,1846,Maloja,58
2019-06-08,1906,Laufenburg,134
2019-06-08,1727,Toggenburg,40
2019-06-08,1301,Arlesheim,561
2019-06-08,2225,Lausanne,24
2019-06-08,1403,Schaffhausen,884
2019-06-08,12,Basel-Stadt,2261
2019-06-08,313,Hochdorf,199
2019-06-08,1107,Lebern,36
2019-06-08,2311,Sierre,22
2019-06-08,7,Nidwalden,223
2019-06-08,1722,Rorschach,111
2019-06-08,245,Emmental,36
2019-06-08,103,Bülach,425
2019-06-08,1909,Rheinfelden,217
2019-06-08,108,Pfäffikon,90
2019-06-08,1841,Albula,62
2019-06-08,2101,Bellinzona,10402
2019-06-08,1726,See-Gaster,109
2019-06-08,505,March,76
2019-06-08,1304,Sissach,137
2019-06-08,2107,Riviera,967
2019-06-08,1905,Kulm,33
2019-06-08,112,Zürich,1841
2019-06-08,1845,Landquart,416
2019-06-08,2012,Frauenfeld,99
2019-06-08,16,Appenzell Innerrhoden,23
2019-06-08,1901,Aarau,109
2019-06-08,1849,Prättigau/Davos,62
2019-06-08,314,Sursee,334
2019-06-08,2013,Kreuzlingen,340
2019-06-08,250,Interlaken-Oberhasli,103
2019-06-08,1844,Imboden,580
2019-06-08,104,Dielsdorf,86
2019-06-08,1108,Olten,176
2019-06-08,1721,St. Gallen,174
2019-06-08,1903,Bremgarten,66
2019-06-08,1101,Gäu,56
2019-06-08,8,Glarus,89
2019-06-08,246,Bern-Mittelland,163
2019-06-08,1908,Muri,41
2019-06-08,2102,Blenio,799
2019-06-08,315,Willisau,103
2019-06-08,1725,Sarganserland,470
2019-06-08,1303,Liestal,506
2019-06-08,107,Meilen,185
2019-06-08,242,Biel/Bienne,70
