Date,Canton From Id,Canton From Name,Count
2019-06-23,12,Basel-Stadt,1450
2019-06-23,7,Nidwalden,217
2019-06-23,3,Luzern,1238
2019-06-23,18,Graubünden,3074
2019-06-23,11,Solothurn,270
2019-06-23,23,Valais,376
2019-06-23,8,Glarus,28
2019-06-23,19,Aargau,754
2019-06-23,4,Uri,1127
2019-06-23,15,Appenzell Ausserrhoden,49
2019-06-23,-1,Other,48
2019-06-24,5,Schwyz,486
2019-06-24,10,Fribourg,43
2019-06-24,24,Neuchâtel,41
2019-06-24,25,Genève,23
2019-06-24,14,Schaffhausen,219
2019-06-24,20,Thurgau,152
2019-06-24,1,Zürich,1726
2019-06-24,6,Obwalden,106
2019-06-24,21,Ticino,84798
2019-06-24,9,Zug,267
2019-06-24,13,Basel-Landschaft,476
2019-06-24,2,Bern,463
2019-06-24,17,St. Gallen,1047
2019-06-24,22,Vaud,78
2019-06-24,12,Basel-Stadt,1071
2019-06-24,7,Nidwalden,164
2019-06-24,3,Luzern,986
2019-06-24,18,Graubünden,1973
2019-06-24,11,Solothurn,199
2019-06-24,23,Valais,154
2019-06-24,8,Glarus,26
2019-06-24,19,Aargau,567
2019-06-24,4,Uri,894
2019-06-24,-1,Other,45
2019-06-25,5,Schwyz,449
2019-06-25,10,Fribourg,40
2019-06-25,25,Genève,33
2019-06-25,14,Schaffhausen,184
2019-06-25,20,Thurgau,109
2019-06-25,1,Zürich,1748
2019-06-25,6,Obwalden,89
2019-06-25,21,Ticino,82845
2019-06-25,9,Zug,272
2019-06-25,13,Basel-Landschaft,371
2019-06-25,2,Bern,488
2019-06-25,17,St. Gallen,788
2019-06-25,22,Vaud,80
2019-06-25,12,Basel-Stadt,810
2019-06-25,7,Nidwalden,99
2019-06-25,3,Luzern,841
2019-06-25,18,Graubünden,1569
2019-06-25,11,Solothurn,153
2019-06-25,23,Valais,149
2019-06-25,8,Glarus,27
2019-06-25,19,Aargau,460
2019-06-25,4,Uri,1056
2019-06-25,-1,Other,69
2019-06-26,5,Schwyz,379
2019-06-26,10,Fribourg,48
2019-06-26,24,Neuchâtel,31
2019-06-26,25,Genève,41
2019-06-26,14,Schaffhausen,148
2019-06-26,20,Thurgau,132
2019-06-26,1,Zürich,2030
2019-06-26,6,Obwalden,134
2019-06-26,21,Ticino,86062
2019-06-26,9,Zug,325
2019-06-26,13,Basel-Landschaft,486
2019-06-26,2,Bern,430
2019-06-26,17,St. Gallen,1007
2019-06-26,22,Vaud,60
2019-06-26,12,Basel-Stadt,1040
2019-06-26,7,Nidwalden,160
2019-06-26,3,Luzern,995
2019-06-26,18,Graubünden,1754
2019-06-26,11,Solothurn,249
2019-06-26,26,Jura,23
2019-06-26,23,Valais,154
2019-06-26,8,Glarus,35
2019-06-26,19,Aargau,537
2019-06-26,4,Uri,933
2019-06-26,-1,Other,35
2019-06-27,5,Schwyz,701
2019-06-27,10,Fribourg,54
2019-06-27,24,Neuchâtel,40
2019-06-27,25,Genève,51
2019-06-27,14,Schaffhausen,238
2019-06-27,20,Thurgau,141
2019-06-27,1,Zürich,2521
2019-06-27,6,Obwalden,130
2019-06-27,21,Ticino,87428
2019-06-27,9,Zug,434
2019-06-27,13,Basel-Landschaft,626
2019-06-27,2,Bern,493
