Date,PLZ From Id,PLZ From Name,Count
2019-07-08,6645,Brione sopra Minusio,45
2019-07-08,6817,Maroggia,584
2019-07-08,6802,Monteceneri,1743
2019-07-08,6956,Capriasca,175
2019-07-08,6574,Gambarogno,33
2019-07-08,6930,Bedano,2079
2019-07-08,6816,Bissone,1446
2019-07-08,6614,Brissago,63
2019-07-08,6838,Breggia,51
2019-07-08,4052,Basel,60
2019-07-08,6517,Arbedo-Castione,147
2019-07-08,6853,Mendrisio,889
2019-07-08,6806,Monteceneri,473
2019-07-08,6821,Rovio,132
2019-07-08,6998,Monteggio,701
2019-07-08,6557,Cama,33
2019-07-08,6875,Castel San Pietro,54
2019-07-08,3988,Obergoms,21
2019-07-08,6472,Erstfeld,31
2019-07-08,6945,Origlio,1225
2019-07-08,6934,Bioggio,4022
2019-07-08,6921,Vico Morcote,335
2019-07-08,6826,Riva San Vitale,865
2019-07-08,6596,Gordola,378
2019-07-08,6981,Bedigliora Croglio Curio,255
2019-07-08,6912,Lugano,147
2019-07-08,6513,Bellinzona,119
2019-07-08,4132,Muttenz,25
2019-07-08,6653,Terre di Pedemonte,35
2019-07-08,6994,Aranno,222
2019-07-08,6825,Mendrisio,500
2019-07-08,4057,Basel,33
2019-07-08,6633,Lavertezzo,34
2019-07-08,6803,Monteceneri,237
2019-07-08,6775,Quinto,52
2019-07-08,6917,Lugano,1386
2019-07-08,6467,Schattdorf,88
2019-07-08,6960,Capriasca,34
2019-07-08,6992,Bioggio Vernate,213
2019-07-08,6928,Manno,271
2019-07-08,6850,Mendrisio,6356
2019-07-08,6965,Lugano,686
2019-07-08,6721,Acquarossa Serravalle,28
2019-07-08,6938,Alto Malcantone,132
2019-07-08,6980,Croglio,100
2019-07-08,6743,Bodio,71
2019-07-08,6814,Cadempino Lamone,1510
2019-07-08,6818,Melano,870
2019-07-08,6953,Capriasca,1663
2019-07-08,6003,Luzern,40
2019-07-08,6023,Rothenburg,21
2019-07-08,6913,Lugano,63
2019-07-08,6516,Cugnasco-Gerra,133
2019-07-08,9470,Buchs (SG) Grabs,43
2019-07-08,6854,Stabio,147
2019-07-08,6484,Wassen,160
2019-07-08,6703,Riviera,67
2019-07-08,6957,Capriasca,41
2019-07-08,6997,Sessa,74
2019-07-08,6822,Arogno,760
2019-07-08,7744,Brusio,23
2019-07-08,6563,Mesocco,72
2019-07-08,6490,Andermatt,39
2019-07-08,6600,Locarno Muralto,882
2019-07-08,6535,Roveredo (GR),134
2019-07-08,6558,Lostallo,31
2019-07-08,8002,Zürich,23
2019-07-08,7402,Bonaduz,21
2019-07-08,6612,Ascona,325
2019-07-08,6929,Gravesano,947
2019-07-08,6537,Grono,92
2019-07-08,6503,Bellinzona,210
2019-07-08,6874,Castel San Pietro,261
2019-07-08,6807,Torricella-Taverne,2104
2019-07-08,6595,Lavertezzo,171
2019-07-08,6864,Mendrisio,191
2019-07-08,6718,Blenio,71
2019-07-08,6984,Pura,508
2019-07-08,6810,Isone,83
2019-07-08,6575,Gambarogno,29
2019-07-08,4056,Basel,44
2019-07-08,6839,Breggia,32
2019-07-08,-1,Other,3351
2019-07-09,6979,Lugano,73
2019-07-09,6855,Stabio,2280
2019-07-09,6512,Bellinzona,1188
2019-07-09,6986,Curio Miglieglia Novaggio,491
2019-07-09,6954,Capriasca,556
2019-07-09,6527,Riviera,80
2019-07-09,6808,Torricella-Taverne,214
2019-07-09,8005,Zürich,149
2019-07-09,6918,Lugano,605
2019-07-09,6883,Novazzano,1213
2019-07-09,6744,Personico,29
2019-07-09,6776,Quinto,105
2019-07-09,6830,Chiasso,3519
2019-07-09,9469,Sennwald,33
2019-07-09,6764,Faido,24
2019-07-09,6939,Alto Malcantone,303
2019-07-09,6655,Centovalli,22
2019-07-09,6515,Bellinzona,64
2019-07-09,4058,Basel,60
2019-07-09,6804,Monteceneri,366
2019-07-09,6877,Coldrerio,1270
2019-07-09,6914,Lugano,311
2019-07-09,6872,Mendrisio,25
2019-07-09,6987,Caslano,2781
2019-07-09,6723,Acquarossa,23
2019-07-09,6968,Lugano,158
2019-07-09,6713,Serravalle,61
2019-07-09,6873,Castel San Pietro,51
2019-07-09,6253,Dagmersellen,40
2019-07-09,6951,Lugano,97
2019-07-09,6599,Cadenazzo,50
2019-07-09,6781,Bedretto,31
2019-07-09,6936,Cademario,106
2019-07-09,6828,Balerna,1642
2019-07-09,7500,St. Moritz,24
2019-07-09,6594,Gambarogno,240
2019-07-09,6983,Magliaso,1532
2019-07-09,6670,Avegno Gordevio,38
2019-07-09,6523,Bellinzona,50
2019-07-09,6410,Arth Gersau,84
2019-07-09,6745,Giornico,41
2019-07-09,6534,San Vittore,114
2019-07-09,6300,Zug,34
2019-07-09,6823,Arogno,291
2019-07-09,6562,Soazza,23
2019-07-09,8050,Zürich,21
2019-07-09,6809,Comunanza Cadenazzo/Montecener,158
2019-07-09,6648,Minusio,339
2019-07-09,8001,Zürich,131
2019-07-09,6947,Capriasca,292
2019-07-09,6702,Bellinzona,145
2019-07-09,6863,Mendrisio,54
2019-07-09,6616,Losone,286
2019-07-09,6760,Faido,99
2019-07-09,8302,Kloten,92
2019-07-09,6865,Mendrisio,73
2019-07-09,6652,Terre di Pedemonte,33
2019-07-09,6343,Risch,23
2019-07-09,6528,Bellinzona,682
2019-07-09,6990,Agno,397
2019-07-09,6565,Mesocco,52
2019-07-09,6926,Collina d'Oro,907
2019-07-09,6852,Mendrisio,522
2019-07-09,6556,Grono,27
2019-07-09,6833,Vacallo,1032
2019-07-09,6656,Centovalli,27
2019-07-09,6748,Faido,22
2019-07-09,6677,Maggia,46
2019-07-09,6995,Croglio,244
2019-07-09,6955,Capriasca,937
2019-07-09,6958,Capriasca,516
2019-07-09,6919,Collina d'Oro,134
2019-07-09,6780,Airolo,135
2019-07-09,6862,Mendrisio,2523
2019-07-09,6518,Bellinzona,112
2019-07-09,6967,Lugano,58
2019-07-09,6593,Cadenazzo,729
2019-07-09,8008,Zürich,21
